Month,PersonA_Total,PersonA_Lower,PersonA_Upper,PersonB_Total,PersonB_Lower,PersonB_Upper,PersonC_Total,PersonC_Lower,PersonC_Upper
2025-01,102000,102000,102000,150000,150000,150000,200000,200000,200000
2025-02,102837,102727,102947,151755,151506,152011,203356,202960,203743
2025-03,103684,103521,103842,153544,153203,153879,206747,206173,207294
2025-04,104530,104321,104735,155313,154891,155736,210206,209507,210844
2025-05,105392,105148,105633,157150,156660,157673,213704,212849,214476
2025-06,106265,105997,106546,158990,158454,159570,217275,216372,218192
2025-07,107144,106835,107448,160862,160232,161484,220918,219891,222014
2025-08,108028,107704,108367,162767,162077,163470,224596,223527,225696
2025-09,108908,108545,109268,164678,163917,165425,228372,227183,229641
2025-10,109797,109414,110177,166606,165819,167410,232202,230930,233510
2025-11,110693,110289,111089,168541,167636,169359,236091,234690,237431
2025-12,111597,111181,112042,170508,169583,171448,240076,238684,241577
2026-01,112503,112062,112970,172508,171505,173548,244095,242485,245562
2026-02,113419,112942,113910,174533,173495,175605,248191,246564,249816
2026-03,114350,113844,114838,176584,175516,177700,252397,250751,254132
2026-04,115289,114766,115773,178652,177527,179783,256616,254920,258422
2026-05,116232,115708,116742,180750,179620,181904,260908,258936,262885
2026-06,117181,116656,117718,182887,181712,184064,265297,263169,267323
2026-07,118148,117617,118697,185044,183837,186297,269771,267648,272064
2026-08,119124,118574,119693,187215,185905,188530,274288,271966,276683
2026-09,120098,119537,120684,189406,188090,190713,278879,276474,281478
2026-10,121077,120477,121692,191626,190234,193014,283535,280934,286223
2026-11,122078,121440,122724,193874,192410,195298,288303,285661,290912
2026-12,123077,122422,123741,196175,194608,197660,293128,290305,295765
2027-01,124093,123431,124794,198486,196857,200054,298027,295067,301028
2027-02,125107,124436,125805,200824,199134,202444,303033,299984,306017
2027-03,126136,125412,126846,203189,201489,204804,308104,304976,311256
2027-04,127176,126433,127916,205582,203878,207338,313278,309898,316575
2027-05,128220,127453,129021,207997,206318,209827,318554,315025,322004
2027-06,129258,128467,130041,210412,208684,212335,323892,320361,327427
2027-07,130330,129545,131140,212880,211025,214862,329348,325670,332939
2027-08,131401,130622,132250,215403,213529,217397,334845,330989,338678
2027-09,132478,131647,133327,217943,215985,219950,340465,336728,344370
2027-10,133569,132732,134406,220498,218597,222606,346177,342121,350339
2027-11,134675,133829,135572,223092,221072,225180,352008,347969,356352
2027-12,135766,134929,136673,225713,223648,227798,357866,353510,362606
2028-01,136888,135984,137822,228361,226212,230517,363871,359344,368450
